GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
argo_java,org.argouml.language.java.ui,SettingsTabJava,225,0,7,0,62,0,18,0,13,0
argo_java,org.argouml.language.java.ui,JavaSequencesMenu,11,0,0,0,3,0,1,0,1,0
argo_java,org.argouml.language.java.ui,ActionRESequenceDiagramForOperation,54,0,2,0,19,0,5,0,4,0
argo_java,org.argouml.language.java.ui,ActionRESequenceDiagram,195,0,34,0,47,0,21,0,4,0
argo_java,org.argouml.language.java.ui,RESequenceDiagramDialog,1090,0,78,0,264,0,53,0,14,0
argo_java,org.argouml.language.java.ui,JavaTools,21,0,5,0,10,0,9,0,5,0
argo_java,org.argouml.language.java.codesync.ui,CodeSyncJPanel,49,0,0,0,12,0,2,0,2,0
argo_java,org.argouml.language.java.codesync.ui,CodeSyncTableModel,139,0,32,0,40,0,21,0,5,0
argo_java,org.argouml.language.java.profile,ModelUtils,55,0,8,0,12,0,6,0,2,0
argo_java,org.argouml.language.java.profile,ProfileJava,91,96,11,6,28,32,12,10,3,9
argo_java,org.argouml.language.java.profile,ProfileJava.new DefaultTypeStrategy() {...},24,6,0,0,6,1,3,1,3,1
argo_java,org.argouml.language.java.reveng,JavaParser.DFA124,656,33,118,0,193,11,72,1,2,1
argo_java,org.argouml.language.java.reveng,JavaParser.DFA127,300,65,55,3,87,21,35,2,1,2
argo_java,org.argouml.language.java.reveng,JavaParser.equalsVariableInitializer_return,0,3,0,0,0,1,0,1,0,1
argo_java,org.argouml.language.java.reveng,JavaParser.block_return,0,3,0,0,0,1,0,1,0,1
argo_java,org.argouml.language.java.reveng,JavaLexer.DFA30,51,82,23,11,10,24,17,4,1,2
argo_java,org.argouml.language.java.reveng,Context,44,57,7,5,13,18,5,8,1,6
argo_java,org.argouml.language.java.reveng,JavaParser.primitiveType_return,0,3,0,0,0,1,0,1,0,1
argo_java,org.argouml.language.java.reveng,JavaParser.annotationName_return,3,0,0,0,1,0,1,0,1,0
argo_java,org.argouml.language.java.reveng,JavaLexer,3391,2928,637,175,891,463,461,121,72,47
argo_java,org.argouml.language.java.reveng,JavaImport,460,0,33,0,127,0,33,0,15,0
argo_java,org.argouml.language.java.reveng,JavaParser.constructorBody_return,0,3,0,0,0,1,0,1,0,1
argo_java,org.argouml.language.java.reveng,JavaParser.DFA118,32,90,7,6,8,28,7,3,1,2
argo_java,org.argouml.language.java.reveng,ClassifierNotFoundException,0,11,0,0,0,2,0,1,0,1
argo_java,org.argouml.language.java.reveng,JavaParser.DFA115,2,33,0,0,1,11,1,1,1,1
argo_java,org.argouml.language.java.reveng,JavaImportSettings,224,0,14,0,57,0,15,0,8,0
argo_java,org.argouml.language.java.reveng,JavaParser.typeArguments_return,3,0,0,0,1,0,1,0,1,0
argo_java,org.argouml.language.java.reveng,JavaParser.qualifiedName_return,0,3,0,0,0,1,0,1,0,1
argo_java,org.argouml.language.java.reveng,OuterClassifierContext,33,101,6,12,6,23,8,6,3,2
argo_java,org.argouml.language.java.reveng,ParameterDeclaration,3,18,0,0,1,7,1,3,1,3
argo_java,org.argouml.language.java.reveng,ParseStateException,11,0,0,0,2,0,1,0,1,0
argo_java,org.argouml.language.java.reveng,JavaParser.DFA107,236,33,44,0,65,11,27,1,2,1
